samplename	antibody	biological_material	replicate	label	orig_filename
SRR1713999_1	H3K27me3-(Millipore,-07-449,-lot-2275589)	s2cell	1	SRX810427	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810427/SRR1713999/SRR1713999_1.fastq.gz
SRR1713999_2	H3K27me3-(Millipore,-07-449,-lot-2275589)	s2cell	2	SRX810427	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810427/SRR1713999/SRR1713999_2.fastq.gz
SRR1714000_1	H3K27me3-(Millipore,-07-449,-lot-2275589)	s2cell	1	SRX810428	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810428/SRR1714000/SRR1714000_1.fastq.gz
SRR1714000_2	H3K27me3-(Millipore,-07-449,-lot-2275589)	s2cell	2	SRX810428	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810428/SRR1714000/SRR1714000_2.fastq.gz
SRR1714001_1	H3K27me3-(Millipore,-07-449,-lot-2275589)	s2cell	1	SRX810429	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810429/SRR1714001/SRR1714001_1.fastq.gz
SRR1714001_2	H3K27me3-(Millipore,-07-449,-lot-2275589)	s2cell	2	SRX810429	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810429/SRR1714001/SRR1714001_2.fastq.gz
SRR1714002_1	H3K27me3-(Millipore,-07-449,-lot-2275589)	s2cell	1	SRX810430	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810430/SRR1714002/SRR1714002_1.fastq.gz
SRR1714002_2	H3K27me3-(Millipore,-07-449,-lot-2275589)	s2cell	2	SRX810430	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810430/SRR1714002/SRR1714002_2.fastq.gz
SRR1714003_1	H3K27me3-(Millipore,-07-449,-lot-2275589)	s2cell	1	SRX810431	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810431/SRR1714003/SRR1714003_1.fastq.gz
SRR1714003_2	H3K27me3-(Millipore,-07-449,-lot-2275589)	s2cell	2	SRX810431	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810431/SRR1714003/SRR1714003_2.fastq.gz
SRR1714004_1	H3K27me3-(Millipore,-07-449,-lot-2275589)	s2cell	1	SRX810432	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810432/SRR1714004/SRR1714004_1.fastq.gz
SRR1714004_2	H3K27me3-(Millipore,-07-449,-lot-2275589)	s2cell	2	SRX810432	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810432/SRR1714004/SRR1714004_2.fastq.gz
SRR1714005_1	input	s2cell	1	SRX810433	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810433/SRR1714005/SRR1714005_1.fastq.gz
SRR1714005_2	input	s2cell	2	SRX810433	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810433/SRR1714005/SRR1714005_2.fastq.gz
SRR1714006_1	input	s2cell	1	SRX810434	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810434/SRR1714006/SRR1714006_1.fastq.gz
SRR1714006_2	input	s2cell	2	SRX810434	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810434/SRR1714006/SRR1714006_2.fastq.gz
SRR1714007_1	input	s2cell	1	SRX810435	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810435/SRR1714007/SRR1714007_1.fastq.gz
SRR1714007_2	input	s2cell	2	SRX810435	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX810435/SRR1714007/SRR1714007_2.fastq.gz
SRR121524_1	input	s2cell	1	SRX046656	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX046656/SRR121524/SRR121524_1.fastq.gz
SRR121524_2	input	s2cell	2	SRX046656	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX046656/SRR121524/SRR121524_2.fastq.gz
SRR121532_1	anti-H3K36me3	s2cell	1	SRX046657	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX046657/SRR121532/SRR121532_1.fastq.gz
SRR121532_2	anti-H3K36me3	s2cell	2	SRX046657	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX046657/SRR121532/SRR121532_2.fastq.gz
