samplename	antibody	biological_material	replicate	label	orig_filename
SRR580337	CP190	s2cell-0	1	SRX191907	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX191907/SRR580337/SRR580337_1.fastq.gz
SRR580338	CP190	s2cell-1	1	SRX191908	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX191908/SRR580338/SRR580338_1.fastq.gz
SRR580339	SuHw	s2cell-2	1	SRX191909	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX191909/SRR580339/SRR580339_1.fastq.gz
SRR580340	SuHw	s2cell-3	1	SRX191910	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX191910/SRR580340/SRR580340_1.fastq.gz
SRR580341	modmdg42.2	s2cell-4	1	SRX191911	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX191911/SRR580341/SRR580341_1.fastq.gz
SRR580342	modmdg42.2	s2cell-5	1	SRX191912	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX191912/SRR580342/SRR580342_1.fastq.gz
SRR580343	CTCF	s2cell-6	1	SRX191913	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX191913/SRR580343/SRR580343_1.fastq.gz
SRR580344	CTCF	s2cell-7	1	SRX191914	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX191914/SRR580344/SRR580344_1.fastq.gz
SRR580345	input	s2cell-8	1	SRX191915	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX191915/SRR580345/SRR580345_1.fastq.gz
SRR580346	input	s2cell-9	1	SRX191916	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX191916/SRR580346/SRR580346_1.fastq.gz
SRR585041	input	s2cell-10	1	SRX193308	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193308/SRR585041/SRR585041_1.fastq.gz
SRR585042	input	s2cell-11	1	SRX193309	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193309/SRR585042/SRR585042_1.fastq.gz
SRR585043	input	s2cell-12	1	SRX193310	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193310/SRR585043/SRR585043_1.fastq.gz
SRR585044	input	s2cell-13	1	SRX193311	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193311/SRR585044/SRR585044_1.fastq.gz
SRR585045	input	s2cell-14	1	SRX193312	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193312/SRR585045/SRR585045_1.fastq.gz
SRR585046	input	s2cell-15	1	SRX193313	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193313/SRR585046/SRR585046_1.fastq.gz
SRR585047	Trr	s2cell-16	1	SRX193314	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193314/SRR585047/SRR585047_1.fastq.gz
SRR585048	Utx	s2cell-17	1	SRX193315	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193315/SRR585048/SRR585048_1.fastq.gz
SRR585049	LPT	s2cell-18	1	SRX193316	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193316/SRR585049/SRR585049_1.fastq.gz
SRR585050	Rpb1	s2cell-19	1	SRX193317	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193317/SRR585050/SRR585050_1.fastq.gz
SRR585051	H3K27ac	s2cell-20	1	SRX193318	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193318/SRR585051/SRR585051_1.fastq.gz
SRR585052	H3K27ac	s2cell-21	1	SRX193319	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193319/SRR585052/SRR585052_1.fastq.gz
SRR585053	H3K27me3	s2cell-22	1	SRX193320	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193320/SRR585053/SRR585053_1.fastq.gz
SRR585054	H3K4me1	s2cell-23	1	SRX193321	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193321/SRR585054/SRR585054_1.fastq.gz
SRR585055	H3K4me1	s2cell-24	1	SRX193322	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193322/SRR585055/SRR585055_1.fastq.gz
SRR585056	H3K4me3	s2cell-25	1	SRX193323	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193323/SRR585056/SRR585056_1.fastq.gz
SRR585057	H3K4me3	s2cell-26	1	SRX193324	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193324/SRR585057/SRR585057_1.fastq.gz
SRR585058	input	s2cell-27	1	SRX193325	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193325/SRR585058/SRR585058_1.fastq.gz
SRR585059	input	s2cell-28	1	SRX193326	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193326/SRR585059/SRR585059_1.fastq.gz
SRR585060	input	s2cell-29	1	SRX193327	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193327/SRR585060/SRR585060_1.fastq.gz
SRR585061	input	s2cell-30	1	SRX193328	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193328/SRR585061/SRR585061_1.fastq.gz
SRR585062	input	s2cell-31	1	SRX193329	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193329/SRR585062/SRR585062_1.fastq.gz
SRR585063	UTX	s2cell-32	1	SRX193330	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193330/SRR585063/SRR585063_1.fastq.gz
SRR585064	LPT	s2cell-33	1	SRX193331	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193331/SRR585064/SRR585064_1.fastq.gz
SRR585065	H3K27ac	s2cell-34	1	SRX193332	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193332/SRR585065/SRR585065_1.fastq.gz
SRR585066	H3K27ac	s2cell-35	1	SRX193333	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193333/SRR585066/SRR585066_1.fastq.gz
SRR585067	H3K27me3	s2cell-36	1	SRX193334	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193334/SRR585067/SRR585067_1.fastq.gz
SRR585068	H3K4me1	s2cell-37	1	SRX193335	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193335/SRR585068/SRR585068_1.fastq.gz
SRR585069	H3K4me1	s2cell-38	1	SRX193336	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193336/SRR585069/SRR585069_1.fastq.gz
SRR585070	H3K4me3	s2cell-39	1	SRX193337	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193337/SRR585070/SRR585070_1.fastq.gz
SRR585071	input	s2cell-40	1	SRX193338	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193338/SRR585071/SRR585071_1.fastq.gz
SRR585072	H3K27me3	s2cell-41	1	SRX193339	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193339/SRR585072/SRR585072_1.fastq.gz
SRR585073	H3K4me1	s2cell-42	1	SRX193340	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX193340/SRR585073/SRR585073_1.fastq.gz
SRR833686	yki	s2cell-43	1	SRX271403	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX271403/SRR833686/SRR833686_1.fastq.gz
SRR833687	yki	s2cell-44	1	SRX271404	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX271404/SRR833687/SRR833687_1.fastq.gz
SRR833688	input	s2cell-45	1	SRX271405	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX271405/SRR833688/SRR833688_1.fastq.gz
SRR837790	input	s2cell-46	1	SRX273673	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX273673/SRR837790/SRR837790_1.fastq.gz
SRR837791	CP190	s2cell-47	1	SRX273674	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX273674/SRR837791/SRR837791_1.fastq.gz
SRR837792	CG8436	s2cell-48	1	SRX273675	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX273675/SRR837792/SRR837792_1.fastq.gz
SRR837793	CG9740	s2cell-49	1	SRX273676	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX273676/SRR837793/SRR837793_1.fastq.gz
SRR869705	input	s2cell-50	1	SRX287562	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX287562/SRR869705/SRR869705_1.fastq.gz
SRR869706	input	s2cell-51	1	SRX287563	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX287563/SRR869706/SRR869706_1.fastq.gz
SRR869707	H3K9me2	s2cell-52	1	SRX287564	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX287564/SRR869707/SRR869707_1.fastq.gz
SRR869708	H3K9me2	s2cell-53	1	SRX287565	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX287565/SRR869708/SRR869708_1.fastq.gz
SRR901293	Ice1	s2cell-54	1	SRX306190	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX306190/SRR901293/SRR901293_1.fastq.gz
SRR901294	Rpb1	s2cell-55	1	SRX306191	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX306191/SRR901294/SRR901294_1.fastq.gz
SRR901295	input	s2cell-56	1	SRX306192	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX306192/SRR901295/SRR901295_1.fastq.gz
SRR901296	Ice1	s2cell-57	1	SRX306193	/data/MiegNCBI/ncbi_remap/prealn-wf/output/samples/SRX306193/SRR901296/SRR901296_1.fastq.gz
